P/E,EPS,Debt-to-Equity,Dividend,Total Volume,Avg Volume,Symbol
8.32,2.27,105.03,1.0,11591953,7470166,APA
0.0,-0.14,127.22,0.0,2319794,1743187,CSIQ
20.82,5.7,166.69,4.18,3258307,3367975,DUK
18.18,2.45,174.23,1.6,7094465,7298970,EXC
10.62,12.02,9.01,0.0,4676725,2359236,FSLR
28.16,0.75,105.34,3.0,655738,859147,JKS
0.0,-562.62,0.0,0.0,612787,391175,MAXN
21.25,3.37,137.3,2.27,9419491,10602728,NEE
14.29,1.15,191.91,0.1,19512190,23033885,PCG
28.66,0.64,89.67,0.0,1070755,940984,SWI
17.32,1.98,76.53,0.0,1478941,2132500,YPF
